codigo;denominacion;precio;marca;producto;stock;viajando;dto;canon
magna;"chasis semitorre magna slim con fuente 500w soporta micro atx mini itx bahias internas 1x3.5' hdd 1x2.5' bahias externas 1x5.25' 1xusb 2.0 1xusb 3.0 salida audio y microfono dimensiones (prxalxan) 410x300x100mm peso 4 kg negro";32.55;l-link;chasis;13;0;1;0
mb2;"mochila para portatil hasta 17.3' negra mb2 con cierre de seguridad conector externo para power bank";30.51;marsgaming;mochila;4;0;1;0
mb600-kgnn-s00;"chasis semitorre masterbox 600 sin fuente soporta atx eatx micro atx mini itx bahias internas 2x3.5' 2x2.5' 3xventilador frontal 140mm + 1 trasero 120mm rgb 2xusb3.2 1xusb-c salida audio y microfono ventana lateral vidrio templado dimensiones (prxalxan) 474x481x230mm negro";81.4;cooler master;chasis;0;0;1;0
mc100w;"chasis semitorre mc100w sin fuente soporta atx micro atx mini atx  bahias internas 2x3.5' 2x2.5' 1xventilador trasero 90mm frgb 1xusb 3.0 1xusb 2.0 salida audio y microfono iluminacion rgb ventana lateral transparente dimensiones (prxalxan) 359x405x165mm peso 2.55 kg blanco";29.81;mars gaming;chasis;5;0;1;0
mc200cm;"convertidor de fibra optica a rj45 1000base-sx a 1000base-t";26.75;tp-link;convertido;4;0;1;0
mc2q4zm/a;"funda smart folio para ipad mini (a17 pro y sexta generacion) color gris carbon";47.86;apple;funda;0;0;1;0
mc2t4zm/a;"funda smart folio para ipad mini (a17 pro y sexta generacion) color violeta claro";47.86;apple;funda;0;0;1;0
mc2u4zm/a;"funda smart folio para ipad mini (a17 pro y sexta generacion) color azul denim";47.86;apple;funda;0;0;1;0
mc2v4zm/a;"funda smart folio para ipad mini (a17 pro y sexta generacion) color verde salvia";47.86;apple;funda;0;0;1;0
mc7d4y/a;"macbook air 15.3' chip m4 con cpu de 10 nucleos 24gb de memoria unificada 512gb ssd grafica m4 gpu de 10 nucleos touch id trackpad force pantalla liquid retina con true tone teclado magic keyboard retroiluminado azul cielo";1443.85;apple;macbook;2;0;1;5.33
mc9c4zm/a;"cable desde usb-c macho a usb-c macho thunderbolt 5 pro longitud 1 metro";58.3;apple;cable;2;0;1;0
mc9f4y/a;"macbook air 15.3' chip m3 con cpu de 8 nucleos 16gb de memoria unificada 256gb ssd grafica m3 gpu de 10 nucleos touch id trackpad force touch pantalla liquid retina teclado magic keyboard  camara facetime hd a 1080p dos puertos thunderbolt/usb 4 adaptador de corriente usb-c de 35w blanco estrella";959;apple;macbook;1;0;1;5.33
mc9h4y/a;"macbook air 15.3' chip m3 con cpu de 8 nucleos 24gb de memoria unificada 512gb ssd grafica m3 gpu de 10 nucleos touch id trackpad force touch pantalla liquid retina teclado magic keyboard  camara facetime hd a 1080p dos puertos thunderbolt/usb 4 adaptador de corriente usb-c de 35w gris espacial";1340;apple;macbook;1;0;1;5.33
mc9l4y/a;"macbook air 15.3' chip m3 con cpu de 8 nucleos 24gb de memoria unificada 512gb ssd grafica m3 gpu de 10 nucleos touch id trackpad force touch pantalla liquid retina teclado magic keyboard  camara facetime hd a 1080p dos puertos thunderbolt/usb 4 adaptador de corriente usb-c de 35w medianoche";1340;apple;macbook;1;0;1;5.33
mca14ty/a;"ipad air chip m3 11' 256gb wifi gris espacial";519;apple;ipad;1;0;1;3.75
mca34ty/a;"ipad air chip m3 11' 256gb wifi azul";519;apple;ipad;2;0;1;3.75
mca94ty/a;"ipad air chip m3 11' 512gb wifi azul";719;apple;ipad;1;0;1;3.75
mcaa4ty/a;"ipad air chip m3 11' 512gb wifi blanco estrella";719;apple;ipad;2;0;1;3.75
mcadp0007;"enchufe adaptador universal una toma de corriente desde tipo e y f a tipo-a, b, c, g, i, j, l y n color blanco";5.5;muvit;regleta;4;0;1;0
mccbt-dr1050;"tambor generico dr-1050 10.000 paginas";6.48;mcc;tambor;5;0;1;0
mccbt-tn247bk;"toner compatible tn247 / tn243 negro 3.000 paginas aproximadamente segun iso/iec19798";6.06;mcc;toner;-1;3;1;0
mccbt-tn423bk;"toner compatible tn421 / tn423 / tn426 negro 6.500 paginas aproximadamente segun iso/iec19798";8.44;mcc;toner;3;0;1;0
mcccf217a;"toner compatible 17a negro 6.000 paginas";8.31;mcc;toner;3;0;1;0
mcccf244a;"toner compatible cf244a negro";6.33;mcc;toner;17;0;1;0
mccei-t7892;"tinta generica para epson t7892 t7902 t7912 cyan ";3.6;mcc;tinta;2;0;1;0
mccf213a;"toner compatible cf213a- lj color 131a pro 200 m251n/nw/mfp m276n/nw magenta 1.800 paginas";13.04;mundocopy;toner;1;0;1;0
mccf383a;"toner compatible cf383a-lj color 312a pro m476 magenta 2.700 paginas";12.53;mundocopy;toner;2;0;1;0
mccmltd111l;"toner compatible mlt-d111l   mlt-d111s negro";8.18;mcc;toner;0;0;1;0
mccmltd116l;"toner compatible mlt-d116l  negro";6.86;mcc;toner ;0;0;1;0
mcctn1050;"toner compatible tn1050 negro";3.62;mcc;toner;5;0;1;0
mcctn1050xl;"toner compatible tn1050 xl negro";5.44;mcc;toner;7;0;1;0
mcctn22;"toner compatible tn2220, tn2210,tn2010 y tn450 negro";7.24;mcc;toner;6;0;1;0
mcctn22xl;"toner compatible tn2220, tn2210,tn2010 y tn450 xl negro";10.78;mcc;toner;4;0;1;0
mcctn2320;"toner compatible tn2320 negro";4.64;mcc;toner;5;5;1;0
mcctn241bk;"toner compatible tn241bk y tn242bk negro";7.08;mcc;toner;1;0;1;0
mcctn2420;"toner compatible tn2420 y tn2410 negro";5.3;mcc;toner;6;10;1;0
mcctn2420x2;"toner compatible tn2420 y tn2410 negro pack 2 unidades";10.88;mcc;toner;4;0;1;0
mcctn2420xl;"toner compatible tn2420 y tn2410 xl negro";7.1;mcc;toner;11;0;1;0
mcctn245cy;"toner compatible tn241c  tn245c  tn242c  tn246c   cyan ";7.56;mcc;toner;0;0;1;0
mcctn245mg;"toner compatible tn241m  tn245m  tn242m  tn246m   magenta ";7.68;mcc;toner;0;0;1;0
mcctn245yl;"toner compatible tn241y  tn245y  tn242y  tn246y amarillo";7.68;mcc;toner;0;0;1;0
mcctn247 p-4;"toner compatible tn247 tn243 pack de cuatro colores ";26.82;mcc;toner;5;0;1;0
mcctn2510xl;"toner compatible tn2510 xl negro";6.15;mcc;toner;5;10;1;0
mcfx4ty/a;"ipad air chip m3 11' 128gb wifi + cellular blanco estrella";551;apple;ipad;0;0;1;3.75
mcfy4ty/a;"ipad air chip m3 11' 128gb wifi + cellular purpura";551;apple;ipad;1;0;1;3.75
mcg14ty/a;"ipad air chip m3 11' 256gb wifi + cellular azul";655;apple;ipad;1;0;1;3.75
mcj34ty/a;"ipad air chip m3 13' 128gb wifi + cellular blanco estrella";711;apple;ipad;2;0;1;3.75
mcj44ty/a;"ipad air chip m3 13' 128gb wifi + cellular purpura";711;apple;ipad;2;0;1;3.75
mcn2;"chasis semitorre mcn2 sin fuente soporta atx micro atx mini itx  bahias internas 2x3.5' 3x2.5' 1xventilador trasero 120mm 1xusb 3.0 1xusb 2.0 salida audio y microfono ventana lateral transparente dimensiones (prxalxan) 352x427x200mm peso 2.55 kg negro";30.11;mars gaming;chasis;4;0;1;0
mcnj4ty/a;"ipad air chip m3 13' 128gb wifi  azul";575;apple;ipad;1;0;1;3.75
mcnk4ty/a;"ipad air chip m3 13' 128gb wifi  blanco estrella";575;apple;ipad;0;0;1;3.75
mcnp4ty/a;"ipad air chip m3 13' 256gb wifi  azul";679;apple;ipad;2;0;1;3.75
mcnq4ty/a;"ipad air chip m3 13' 256gb wifi  blanco estrella";679;apple;ipad;1;0;1;3.75
mcpu44;"refrigeracion por aire para cpu intel lga 1150, 1151, 1155, 1156, 1200, 1366, 1700, 2011, 2066 y am4, am3+, am3, am2+, am2, fm2, fm1";15.48;mars gaming;ventilador;4;0;1;0
mcpu66;"refrigeracion por aire con iluminacion triple argb 6 heatpipes disipador de aluminio 2 ventiladoes pwm 110mm tdp hast 220w nivel sonoro 9-30dba socket intel lga 2066/2011/1700/1200/1156/1155/1151/1150/1366 y amd am4/am3+/am3/am2+/am2/fm2/fm1";24.29;mars gaming;ventilador;4;0;1;0
mcpux5w;"refrigeracion por aire x5 de 5 hct  heatpipes base de cobre ventilador de 120mm refrigeracion 280w tdp alta compatibilidad nivel sonoro: 9-28dba socket: intel lga 1851/1700/1200/1156/1155/1151/1150/1366 y amd am4 amd5";18.7;mars gaming;ventilador;9;0;1;0
mcpuxu6;"refrigeracion por aire xu6 de 6 heatpipes disipador de aluminio 2 ventiladoes pwm 120mm tdp 350w nivel sonoro 9-23dba socket intel lga 2066/2011/1700/1200/1156/1155/1151/1150/1366 y amd am4/am3+/am3/am2+/am2/fm2/fm1";32.92;mars gaming;ventilador;9;0;1;0
mcpuxu6w;"refrigeracion por aire xu6 de 6 heatpipes disipador de aluminio 2 ventiladoes pwm 120mm tdp 350w nivel sonoro 9-23dba socket intel lga 2066/2011/1700/1200/1156/1155/1151/1150/1366 y amd am4/am3+/am3/am2+/am2/fm2/fm1";32.2;mars gaming;ventilador;10;0;1;0
mcr24y/a;"imac 24' retina 4.5k chip m4 con cpu de 10 nucleos 24gb de memoria unificada 512gb ssd gpu de 10 nucleos cuatro puertos thunderbolt magic keyboard plata";1725.98;apple;imac;1;0;1;5.33
